time,ultra_sonic,resistor,x,y,z,orientation
1581517320.4385128,8,0,0.86191259765625,-5.7125651611328125,7.752424975585937,"0
"
1581517320.9433055,6,0,0.9050082275390624,-5.722141967773437,7.685387329101562,"0
"
1581517321.4479613,8,3,0.8810662109374999,-5.693411547851563,7.6997525390625,"0
"
1581517321.9533973,11,0,0.8475473876953125,-5.683834741210937,7.6614453125,"0
"
1581517322.4588645,7,0,0.8762778076171874,-5.741295581054687,7.690175732421874,"0
"
1581517322.9640603,7,3,0.8714894042968749,-5.702988354492187,7.666233715820312,"0
"
1581517323.469067,9,2,0.86191259765625,-5.72693037109375,7.71890615234375,"0
"
1581517323.9763703,7,0,0.7852981445312499,-5.635950708007812,7.690175732421874,"0
"
1581517324.4811575,6,3,0.8379705810546875,-5.702988354492187,7.6614453125,"0
"
1581517324.9866984,11,1,0.8475473876953125,-5.693411547851563,7.675810522460937,"0
"
1581517325.4916217,8,0,0.8667010009765624,-5.702988354492187,7.666233715820312,"0
"
1581517325.9966383,7,3,0.8379705810546875,-5.722141967773437,7.6614453125,"0
"
1581517326.5015,10,2,0.8714894042968749,-5.698199951171874,7.685387329101562,"0
"
1581517327.0062354,9,0,0.842758984375,-5.702988354492187,7.694964135742187,"0
"
1581517327.511368,6,1,0.833182177734375,-5.693411547851563,7.709329345703124,"0
"
1581517328.015935,9,3,0.8283937744140625,-5.702988354492187,7.690175732421874,"0
"
1581517328.5209777,9,0,0.86191259765625,-5.679046337890624,7.694964135742187,"0
"
1581517329.0257077,6,0,0.8667010009765624,-5.693411547851563,7.685387329101562,"0
"
1581517329.530897,7,3,0.86191259765625,-5.6311623046875,7.651868505859374,"0
"
1581517330.0354056,10,2,0.8954314208984374,-5.68862314453125,7.728482958984374,"0
"
